3.01765	80.4028	-10.1412	-58.1824	-4.76299	9.91722	-0.532543	
3.0666	80.5513	-10.1445	-58.0227	-4.76409	9.94196	-0.530713	
3.11622	80.6881	-10.1466	-57.8694	-4.76414	9.96609	-0.528888	
3.1658	80.8256	-10.1487	-57.7162	-4.76427	9.99013	-0.527073	
3.2159	80.9631	-10.1501	-57.5637	-4.7642	10.0141	-0.52527	
3.26554	81.0991	-10.1519	-57.4121	-4.76429	10.0379	-0.523471	
3.31517	81.2352	-10.1536	-57.2608	-4.76441	10.0615	-0.521682	
3.36481	81.3723	-10.1551	-57.1097	-4.76459	10.0851	-0.519903	
3.4148	81.5072	-10.1562	-56.9599	-4.76459	10.1085	-0.518132	
3.46329	81.6437	-10.1587	-56.8098	-4.76518	10.1317	-0.516371	
3.51392	81.7762	-10.1588	-56.6619	-4.76491	10.1549	-0.514619	
3.56303	81.911	-10.1604	-56.5133	-4.7653	10.1779	-0.512874	
3.61484	82.0378	-10.1591	-56.3686	-4.76441	10.2009	-0.511142	
3.66224	82.1851	-10.1625	-56.2168	-4.76859	10.2226	-0.259098	
3.70172	82.3416	-10.181	-56.0344	-4.04608	10.2414	-0.0937479	
3.76913	82.4796	-10.1832	-55.788	-3.54109	10.2462	0.0120362	
3.84931	82.6173	-10.1761	-55.5022	-3.18781	10.2517	0.0804132	
3.93313	82.7671	-10.1649	-55.1951	-2.94085	10.2625	0.12494	
4.01151	82.8791	-10.158	-54.8953	-2.76799	10.2781	0.15401	
4.09024	83.0534	-10.1472	-54.5791	-2.64841	10.3016	0.173042	
4.16408	83.1815	-10.1387	-54.2889	-2.56372	10.3282	0.18545	
4.23452	83.3421	-10.1309	-54.0007	-2.50578	10.3585	0.193513	
4.30134	83.5045	-10.1245	-53.7264	-2.46593	10.3904	0.198708	
4.36478	83.6614	-10.1195	-53.4688	-2.43859	10.4227	0.202017	
4.42546	83.8175	-10.1156	-53.2263	-2.42005	10.4548	0.204079	
4.48462	83.9724	-10.1116	-52.9977	-2.40762	10.4864	0.205338	
4.54167	84.1253	-10.1087	-52.7822	-2.39961	10.5171	0.206069	
4.59719	84.2722	-10.1062	-52.5804	-2.39443	10.5465	0.206465	
4.65058	84.4179	-10.1054	-52.3887	-2.3918	10.5746	0.206645	
4.7029	84.5461	-10.1048	-52.2124	-2.39015	10.6011	0.206713	
4.7564	84.7008	-10.1021	-52.0351	-2.38962	10.6274	0.206655	
4.8077	84.8364	-10.1013	-51.8712	-2.38984	10.6521	0.206579	
4.85951	84.9679	-10.0993	-51.7154	-2.39003	10.6757	0.206477	
4.91005	85.0975	-10.0984	-51.5654	-2.39084	10.6983	0.206365	
4.96042	85.2245	-10.0973	-51.421	-2.39173	10.72	0.20625	
5.01048	85.3498	-10.0961	-51.2813	-2.39275	10.741	0.206137	
5.06027	85.4736	-10.0949	-51.1459	-2.39383	10.7612	0.206029	
5.10996	85.5957	-10.0936	-51.0142	-2.39489	10.7809	0.205927	
5.15964	85.7155	-10.0919	-50.8861	-2.39583	10.8001	0.205831	
5.20923	85.8328	-10.0901	-50.7615	-2.39665	10.8187	0.205743	
5.25804	85.9538	-10.089	-50.6374	-2.39807	10.8368	0.205664	
5.30742	86.0731	-10.087	-50.5158	-2.39902	10.8549	0.205584	
5.39621	86.1455	-10.0268	-50.42	-2.39188	4.699	0.204096	
5.48301	86.742	-10.062	-49.2644	-2.37136	-0.680393	0.201467	
5.64521	87.6655	-10.0387	-23.4188	-2.44318	-5.15573	0.195096	
5.95241	91.1192	-10.221	-8.43906	-2.58269	-9.37616	0.175451	
6.25428	95.3751	-10.4741	0.642825	-2.71969	-12.8202	0.154802	
6.50548	99.5706	-10.727	6.37212	-2.83489	-15.5055	0.136605	
6.96342	52.0006	-10.5223	10.0828	-2.88658	-17.3473	0.122481	
7.34129	13.6016	-10.4681	11.5471	-2.89881	-18.7429	0.109724	
7.63572	-17.1841	-10.4839	11.952	-2.88017	-19.7862	0.09883	
7.83013	-41.7443	-10.5678	11.857	-2.85276	-20.5683	0.0897491	
7.95256	-61.2561	-10.6798	11.5369	-2.82038	-21.1546	0.0822943	
8.02341	-76.7013	-10.8001	11.1354	-2.78716	-21.5952	0.0762384	
8.05886	-88.8955	-10.9165	10.7244	-2.75544	-21.9275	0.07137	
8.07357	-98.4913	-11.019	10.3426	-2.72579	-22.1789	0.0674873	
8.07393	-106.024	-11.1075	10.0079	-2.69996	-22.3699	0.0644147	
8.06847	-111.925	-11.1775	9.72179	-2.67665	-22.516	0.0620116	
8.06093	-116.531	-11.2298	9.48656	-2.65619	-22.6282	0.0601588	
8.05391	-120.118	-11.2654	9.29716	-2.63809	-22.7152	0.0587491	
8.04887	-122.902	-11.286	9.14906	-2.62214	-22.7831	0.0576995	
8.04626	-125.045	-11.2934	9.03838	-2.60817	-22.8369	0.0569351	
8.04611	-126.693	-11.2902	8.95779	-2.59581	-22.88	0.0564132	
8.05046	-127.945	-11.2753	8.90416	-2.58426	-22.9148	0.0560791	
8.05709	-128.891	-11.253	8.87173	-2.57376	-22.9437	0.0558913	
8.06609	-129.592	-11.224	8.85813	-2.56417	-22.968	0.0558244	
8.07738	-130.104	-11.1894	8.85948	-2.55513	-22.9889	0.055856	
8.09035	-130.464	-11.1506	8.87409	-2.54681	-23.0072	0.0559593	
8.10512	-130.707	-11.1078	8.89894	-2.53874	-23.0234	0.0561268	
8.12115	-130.859	-11.0623	8.93169	-2.53092	-23.0383	0.0563441	
8.13862	-130.938	-11.014	8.97157	-2.52318	-23.052	0.0566031	
